,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Hermanus,ZA,-34.4187,19.2345,57.79,85,0,0.92,clear sky
1,Ushuaia,AR,-54.8,-68.3,58.66,44,20,14.97,few clouds
2,Tabou,CI,4.423,-7.3528,79.12,81,100,6.49,overcast clouds
3,Marsh Harbour,BS,26.5412,-77.0636,79.29,70,52,6.78,broken clouds
4,Bathsheba,BB,13.2167,-59.5167,84.81,74,20,18.41,few clouds
5,Longyearbyen,SJ,78.2186,15.6401,26.44,80,75,10.36,broken clouds
6,Sinop,TR,41.7711,34.8709,45.28,87,6,2.55,clear sky
7,Luangwa,ZM,-15.6167,30.4167,84.31,45,22,1.28,few clouds
8,Bonavista,CA,48.6499,-53.1147,35.17,69,100,11.21,overcast clouds
9,Emborion,GR,40.4833,21.55,49.3,94,85,0.81,overcast clouds
10,Cruzeiro Do Sul,BR,-29.5128,-51.9853,75.07,86,100,5.37,light rain
11,Dikson,RU,73.5069,80.5464,-5.66,100,100,8.43,overcast clouds
12,Codrington,AU,-38.2667,141.9667,51.22,96,93,11.97,light rain
13,Mar Del Plata,AR,-38.0023,-57.5575,66.94,93,75,12.66,moderate rain
14,Port Alfred,ZA,-33.5906,26.891,60.19,82,5,1.99,clear sky
15,Souillac,MU,-20.5167,57.5167,73.17,71,0,4.27,clear sky
16,Inta,RU,66.0317,60.1659,14.95,96,100,3.58,light snow
17,Big Bend,SZ,-26.8167,31.9333,66.97,88,100,10.67,overcast clouds
18,Coquimbo,CL,-29.9533,-71.3436,69.53,45,0,14.97,clear sky
19,Sebring,US,27.4956,-81.4409,84.67,65,55,4.0,broken clouds
20,Voronezhskaya,RU,45.2106,39.5667,51.35,78,26,14.99,scattered clouds
21,Bahia Blanca,AR,-38.7196,-62.2724,59.52,94,100,12.66,light rain
22,Kastamonu,TR,41.5,33.6667,41.88,84,5,0.92,clear sky
23,Jamestown,US,42.097,-79.2353,38.79,76,100,16.11,snow
24,Claremorris,IE,53.7167,-9.0,54.36,91,100,4.94,light rain
25,Athens,GR,37.9795,23.7162,62.19,77,20,6.91,few clouds
26,Georgetown,MY,5.4112,100.3354,80.24,91,40,1.14,scattered clouds
27,Punta Arenas,CL,-53.15,-70.9167,64.51,34,0,14.97,clear sky
28,Nouadhibou,MR,20.931,-17.0347,69.98,78,0,18.19,clear sky
29,Cape Town,ZA,-33.9258,18.4232,66.09,59,0,4.0,clear sky
30,Sioux Lookout,CA,50.1001,-91.917,22.41,74,100,3.65,overcast clouds
31,Maceio,BR,-9.6658,-35.7353,80.04,83,75,13.8,broken clouds
32,Bredasdorp,ZA,-34.5322,20.0403,59.99,79,0,3.04,clear sky
33,Vestmannaeyjar,IS,63.4427,-20.2734,50.27,87,100,44.05,light rain
34,Ribeira Grande,PT,38.5167,-28.7,64.8,68,40,14.97,scattered clouds
35,Saldanha,ZA,-33.0117,17.9442,61.48,84,0,13.06,clear sky
36,Iracoubo,GF,5.4802,-53.2011,80.6,78,100,11.1,moderate rain
37,Margate,GB,51.3813,1.3862,55.31,88,73,1.99,broken clouds
38,Victoria,HK,22.2855,114.1577,75.38,82,7,11.01,clear sky
39,Talara,PE,-4.5772,-81.2719,74.16,60,0,14.97,clear sky
40,Lasa,IT,46.6166,10.7002,42.03,92,100,3.91,overcast clouds
41,Jalu,LY,29.0331,21.5482,66.76,39,56,7.2,broken clouds
42,Cayenne,GF,4.9333,-52.3333,82.44,78,75,10.36,broken clouds
43,Arroyo,ES,41.6096,-4.7969,58.14,69,40,6.91,scattered clouds
